Date,"Feb  1, 2026 to Mar  3, 2026"
Filters,"Sales Order Status: Pending, Processing, Ready to ship, Delivering, Delivered, Completed"

Name,SKU,Quantity Sold,Total Sales,Unit Type,Category,Subcategory,Group,Vendor,Product Owner,Unit Cost,Sale Price,Wholesale Price,Shipped From License,UPC
VYBZ - 1/2 Ounce - Peach Rings (Smalls),VYB-14S-MYL-PER,152,3344.00,Half Ounce,Small/Popcorn Buds-Packaged For Sale,14g Smalls Mylar,Wholesale,SSAC (C),Brandon Green,,25.00,,17334914845519714402,
SRENE - 1g - Pre-roll - Purple Haze,SRN-PRJ-PUH,725,3325.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,5.00,5.0,17334914845519714402,
VYBZ - 3.5 grams - BioFuel,VYB-3.5-MYL-BIO,275,3300.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Wholesale,SSAC (C),Brandon Green,,12.00,10.0,17334914845519714402,
SRENE - 1g Cart - BioFuel,SRE-1g-CRT-BIO,325,3262.50,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,15.0,08542800532746610043,
SRENE - 30ml Tincture - Rise and Shine 2:1:1 - 100mg,SRE-TNC-V30-R&S-100,300,3000.00,Unit,Tinctures (Each),Tinc - Rise&Shine,Wholesale,SSAC (P),,,10.00,,08542800532746610043,
SRENE - Rose Sorbet - Pre Roll - .7g - 5 Pack,SRE- PRJ - ROS - .7 - 5pk,300,3000.00,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Wholesale,SSAC (C),Beau Meyer,,14.00,,17334914845519714402,
VYBZ - 3.5 grams - Melonade,VYB-3.5-MYL-MEL,336,2888.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Wholesale,SSAC (C),Brandon Green,,12.00,10.0,17334914845519714402,
SRENE - 1g Cart - Honey Dew,SRE-1g-CRT-HON,250,2700.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,15.0,08542800532746610043,
LEVEL Hashtab - Indica - 4pk - 25mg,LEV-HAS-4PK-IND,230,2640.00,Unit,Capsule/Tablet,LEVEL - 4pk,Wholesale,SSAC (P),,,12.00,12.0,08542800532746610043,
LEVEL Hashtab - Sativa - 4pk - 25mg,LEV-HAS-4PK-SAT,220,2560.00,Unit,Capsule/Tablet,LEVEL - 4pk,Wholesale,SSAC (P),,,12.00,12.0,08542800532746610043,
